1000 4000
0 154 19
14 154 35
232 154 72
532 154 11
837 154 87
154 0 33
326 0 85
423 0 97
583 0 83
0 161 63
117 161 71
194 161 66
259 161 40
444 161 41
871 161 17
0 306 50
438 306 87
927 306 9
0 437 53
270 437 12
282 437 18
442 437 50
468 437 28
568 437 46
830 437 54
0 670 52
303 670 26
837 670 62
0 886 7
11 886 78
470 886 65
909 886 99
981 886 9
0 908 52
193 908 35
758 908 25
969 908 18
1 5 9
410 5 7
541 5 99
562 5 76
660 5 35
109 1 63
447 1 63
784 1 93
854 1 20
1 268 64
20 268 51
118 268 60
690 268 100
767 268 94
1 581 58
62 581 4
191 581 2
504 581 22
515 581 75
676 581 50
876 581 8
926 581 91
2 96 24
138 96 42
252 96 87
760 96 31
97 2 67
156 2 62
736 2 58
744 2 24
2 206 4
646 206 99
667 206 39
2 681 40
64 681 22
84 681 42
152 681 6
698 681 79
786 681 94
2 687 66
89 687 29
280 687 29
409 687 58
650 687 83
878 687 9
2 794 10
280 794 54
549 794 53
775 794 40
884 794 62
957 794 12
2 900 20
542 900 36
787 900 84
797 900 49
931 900 61
3 64 95
595 64 80
139 3 11
144 3 35
214 3 12
434 3 14
572 3 18
605 3 39
957 3 1
975 3 74
984 3 21
3 298 10
345 298 57
474 298 24
569 298 39
858 298 66
3 537 98
158 537 31
340 537 76
429 537 32
764 537 16
984 537 26
3 706 38
394 706 2
564 706 14
650 706 65
706 706 84
3 716 23
489 716 31
551 716 93
4 183 35
624 183 94
164 4 78
508 4 39
835 4 10
4 783 20
111 783 41
166 783 7
340 783 38
581 783 35
848 783 72
4 923 64
9 923 3
229 923 6
360 923 31
439 923 15
630 923 77
5 487 27
309 487 15
478 487 12
668 487 9
5 649 97
260 649 13
383 649 7
492 649 58
537 649 16
662 649 27
931 649 50
941 649 3
6 43 40
396 43 2
459 43 73
557 43 25
571 43 5
576 43 100
923 43 3
974 43 24
87 6 89
303 6 89
380 6 64
607 6 13
645 6 89
777 6 83
6 137 96
756 137 1
919 137 76
6 547 98
150 547 24
275 547 18
291 547 31
716 547 34
868 547 87
6 606 89
141 606 18
210 606 72
684 606 59
7 601 48
256 601 47
520 601 66
608 601 30
883 601 54
433 7 81
471 7 72
595 7 75
597 7 26
696 7 45
927 7 69
7 888 17
304 888 48
544 888 9
672 888 73
8 853 52
438 853 91
780 853 82
916 853 54
242 8 52
605 8 52
8 996 97
835 996 97
9 609 69
15 609 96
312 609 53
441 609 42
